Key,Context,Example,Source,de,es,fr,ja,ko,pt,zh-hans,zh-hant
,,,"
Strong {number1}
Sharp {number2}
Arcane {number3}
Tough {number4}
",,,,,,,,
UnderhavenDesc,,,"(Under Construction) Welcome to peaceful Underhaven, where monsters and heroes get along and you can set up your characters, shop, and build in peace.","(In Vorbereitung) Willkommen im ruhigen Underhaven, wo Monster und Helden miteinander gut auskommen und du deine Charaktere erstellen, einkaufen und in Ruhe bauen kannst.",,"(En construction) Bienvenue dans la tranquille Underhaven, un endroit où les monstres et les héros sont en paix. Tu peux assembler ton personnage, acheter des équipements et construire tes objets en toute tranquillité.",,"(공사 중) 안전한 지하 은신처에 온 걸 환영해요. 몬스터와 영웅들은 이곳에서 함께 어울리며 캐릭터를 꾸미거나 쇼핑을 할 수 있고, 평화로운 시간을 보낼 수 있죠.","(Em Construção) Seja Bem-Vindo ao Pacífico Refúgio Subterrãneo, onde Monstros e Heróis se encontram juntos para arrumar seus equipamentos, Comprar coisas e construir em paz",,（施工中）歡迎來到和平的地下聖所。怪物和英雄都在這裡共處，你也可以自由地設定角色、購物和建造。
MagicSprintDescription,, +30% run speed for 1.30 seconds,+{1:int}% run speed for {2:fixed} seconds,+{1:int} % Lauftempo für {2:fixed} Sek.,+{1:int}% run speed for {2:fixed} seconds,+{1:int} % de vitesse de course pendant {2:fixed} secondes,{2:fixed}秒の間、走るスピードが{1:int}%アップ,+ {2:fixed}초 동안 달리기 속도 {1:int}% 향상, +{1:int}% Velocidade de Corrida por {2:fixed} segundos ,{2:fixed}秒内奔跑速度+{1:int}%,+{1:int}% 奔跑速度，持續 {2:fixed} 秒
willDescription,,+2 Arcane,+{amount:int} Arcane,+{amount:int} Arkan,+{amount:int} Arcane,+{amount:int} Arcane,特殊性+{amount:int},+ 불가사의 {amount:int} 추가, +{amount:int} Arcano,奥术+{amount:int},+{amount:int} 奧術
dexDescription,,+2 Sharp,+{amount:int} Sharp,+{amount:int} Scharfsichtig,+{amount:int} Sharp,+{amount:int} Précision,鋭さ+{amount:int},+ 예리함 {amount:int} 추가, +{amount:int} Afiado,伤害+{amount:int},+{amount:int} 銳眼
strDescription,,+2 Strong,+{amount:int} Strong,+{amount:int} Stark,+{amount:int} Strong,+{amount:int} Force,強さ+{amount:int},+ 힘 {amount:int} 추가, +{amount:int} Forte,力量+{amount:int},+{amount:int} 力量
conDescription,,+2 Tough,+{amount:int} Tough,+{amount:int} Zäh,+{amount:int} Tough,+{amount:int} Robustesse,丈夫さ+{amount:int},+ 끈기 {amount:int} 추가, +{amount:int} Resistente,坚韧+{amount:int},+{amount:int} 堅韌
,,,+{number1} DP,,,,,,,,
StoreInfoBoost,,,2x Experience Points! 3x Rubies! 2x Loot Drop Chance (doesn't include potions)! 50% Chance Loot Higher Level! 50% Chance Higher Loot Tier (unless already Legendary)!,"2x Erfahrungspunkte! 3x Rubine! 2x Beutefund-Chance (exklusive Tränke)! 50 % Chance auf Beute höherer Stufe! 50 % Chance auf Beute höheren Rangs (es sei denn, sie ist schon legendär)!",2x Experience Points! 3x Rubies! 2x Loot Drop Chance (doesn't include potions)! 50% Chance Loot Higher Level! 50% Chance Higher Loot Tier (unless already Legendary)!,Points d'expérience x2! Rubis x3! Chance de butin x2 (potions non incluses)! 50 % de chance d'avoir du butin de niveau supérieur! 50 % de chance d'avoir du butin de catégorie supérieure (sauf si déjà légendaire)!,経験値2倍、ルビー3倍！宝物（ポーションを除く）のドロップチャンスも2倍になるぞ！おまけに50%の確率で、宝物レベルとレアリティ（レジェンドを除く）がアップだ！,경험치 2배! 루비 3배! 약탈품 드롭 확률 2배(물약 미포함)! 상위 레벨 약탈품 획득 확률 50 %! 상위 약탈품 획득 확률 50 %(전설 등급에는 적용되지 않음)!,2x Pontos de Experiência! 3x Rubis! 2x Chance de Looting (Não inclui poções)! 50% Chance de Loot em Nível Maior! 50% Chance de Maior Classificação de Loot (Ao menos que já seja Lendário)!,经验值获取x2！红宝石掉落x3！战利品掉落概率（药水除外）x2！50%概率获得更高等级的战利品！50%概率获得更高品质的战利品（除非已达传奇级）！,2 倍經驗點數！3 倍紅寶石！2 倍戰利品掉落機率 (不包含藥水)！有 50% 機率獲得更高等級的戰利品！有 50% 機率獲得更高稀有度的戰利品 (除非已是傳奇物品)！
StatueAvatarDescription,,,"A statue of your own avatar, because Very Important People have statues honoring them. (Requires VIP pass)","Eine Statue deines Avatars, denn VIPs bekommen zu ihren Ehren stets eine Statue. (VIP-Pass erforderlich)","A statue of your own avatar, because Very Important People have statues honoring them. (Requires VIP pass)","Statue de ton propre avatar, car les VIP ont droit à une statue en leur honneur. (Requiert le passe VIP.)",君のアバターの像。自分の像を持っているのは、名誉の証なのだ（VIPパスが必要です）。,"내 아바타의 동상, 위대한 사람은 그들을 기념하는 동상이 있는 법입니다(VIP 패스 필요).","Uma estátua do seu próprio avatar, por que Pessoas Muito Importantes tem estátuas honrando-as. (Requer passe VIP)",一个你的虚拟形象的雕塑，VIP玩家总得有个雕塑来铭记他们（需要VIP通行证）,以你的虛擬人偶為造型的雕像，因為重量級人物都會建雕像來榮耀自己。(需要 VIP 通行證)
fireAdjectiveFP3,,female plural,Ablaze,Lodernde,Ablaze,enflammées,燃える,불길의,Em chamas,闪耀,烈火
fireAdjectiveFS3,,female singular,Ablaze,Lodernder,Ablaze,enflammé,,불길의,Em chamas,闪耀,烈火
dexNoun2,,,Accuracy,Genauigkeit,Precisión,Précision,正確さ,정확도,Precisão,精确度,準確度
dexAdjectiveFP2,,female plural,Accurate,Genaue,Accurate,Précises,正確な,정확한,Precisas,精确,精準
dexAdjectiveFS2,,female singular,Accurate,Genauer,Accurate,précis,,정확한,Preciso,精确,精準
,,use 'hero express' feature,Activate Hero Express,Heldenexpress aktivieren,Activate Hero Express,Activer Héros express,ヒーローエクスプレスを使う,영웅 이용권 활성화하기,Ativar Expresso de Herói,激活英雄速递,使用英雄變身券
ClothPirateLegs,,,Adventurer Garb Legs,Abenteurertracht - Beine,Adventurer Garb Legs,Jambières d'aventurier,冒険者のズボン,모험가 의복 하의,Vestimenta do Aventureiro Pernas,冒险者装束下装,冒險者服裝護腿
ClothPirateTorso,,,Adventurer Garb Top,Abenteurertracht-Oberteil,Adventurer Garb Top,Haut d'aventurier,冒険者のシャツ,모험가 의복 상의,Vestimenta do Aventureiro Corpo,冒险者装束上装,冒險者服裝上衣
explosiveAdjectiveFP4,,"like an earthquake, but instead it's air",Airquake,Luftbebende,Airquake,sismiques,空気を震わせる,공중지진,Armoto,气震,大氣震盪
explosiveAdjectiveFS4,,"like an earthquake, but instead it's air",Airquake,Luftbebender,Airquake,sismique,,공중지진,Armoto,气震,大氣震盪
HeavyAlarLegs,,,Alar Knight Legs,Alar-Ritter - Beine,Alar Knight Legs,Jambières chevalier Alar,翼の生えた騎士のブーツ,날개 기사 하의,Cavaleiro Alado Pernas,飞翼骑士下装,雙翼騎士護腿
HeavyAlarTorso,,,Alar Knight Torso,Alar-Ritter-Torso,Alar Knight Torso,Torse chevalier Alar,翼の生えた騎士の鎧,날개 기사 상의,Cavaleiro Alado Corpo,飞翼骑士躯干,雙翼騎士上半身
LightAlphaMailTorso,,Rare item that alpha testers got,Alpha Mail,Alpha-Kettenpanzer,Alpha Mail,Maille Alpha,アルファメール,알파 갑옷,Cota de Malha Alfa,阿尔法套装,Alpha 鎖子甲
Altar,,,Altar,Altar,Altar,Autel,祭壇,제단,Altar,祭坛,祭壇
radiantAdjectiveFP3,,female plural,Angelic,Engelsgleiche,Angelic,angéliques,天使の,천사의,Angélicas,天使般,天使
radiantAdjectiveFS3,,female singular,Angelic,Engelsgleicher,Angelic,angélique,,천사의,Angélico,天使般,天使一般
Apprentice,,player rank,Apprentice,Lehrling,Apprentice,Apprenti,見習い,견습,Aprendiz,学徒,見習生
willAdjectiveFP2,,female plural,Arcane,Arkane,Arcane,arcaniques,特殊な,불가사의한,Arcanas,奥术,奧術
willAdjectiveFS2,,female singular,Arcane,Arkan,Arcane,Arcane,,불가사의한,Arcano,奥术,奧術
Archon,,player rank (Archon means 'king' in Greek),Archon,Archon,Archon,Archon,キング,집정관,Arconte,执政官,統治者
coldAdjectiveFP4,,female plural,Arctic,Arktische,Arctic,arctiques,北極の,북극,Árticas,极寒,寒冰
coldAdjectiveFS4,,female singular,Arctic,Arktischer,Arctic,arctique,,북극,Ártico,极寒,寒冰
EquipTypearmor,,,Armor,Rüstung,Armor,Armure,アーマー,갑옷,Armadura,盔甲,護甲
,,,Assigned To,,,,,,,,
FurnishingAvailable,,space after period essential,Available this floor.,Auf dieser Ebene verfügbar. ,Available this floor.,Disponible ici.,このフロアで使えます。,사용 가능한 층입니다.,Andar Disponível,启用这一层,可用於本關卡。
,,,Available this floor.Cost: {number1},,,,,,,,
StatueAvatar,,,Avatar Statue,Avatar-Statue,Avatar Statue,Statue avatar,アバターの像,아바타 동상,Statua de Avatar,头像雕塑,虛擬人偶雕像
SwordGemPommel,,Cool sounding sword name,Avowal,Bekenntnis,,Révélation,,맹세,,誓约,誓約
,,,AwardExperience,,,,,,,,
Axe,,,Axe,Axt,Axe,Hache,オノ,도끼,Machado,斧子,斧頭
,,,BP,,,,,,,,
,,,Back,Zurück,Atrás,Retour,戻る,뒤로,Voltar,返回,返回
Barbarian,,,Barbarian,Barbar,Barbarian,Barbare,バーバリアン,바바리안,Bárbaro,野蛮人,野蠻人
AxeBarbarian,,,Barbarian Axe,Barbarenaxt,Barbarian Axe,Hache de barbare,バーバリアンのオノ,바바리안 도끼,Machado Bárbaro,野蛮人之斧,野蠻人斧頭
Barrel,,,Barrel,Tonne,,Tonneau,,통,,木桶,桶子
Barrier,,"category of furniture includes fences, gates, doors",Barrier,Barriere,Barrera,Barrière,フェンスやドア,장벽,Barreira,障碍物,障礙物
ToolInfoBaseDamage,,Base damage: 10-20,Base damage: {1:int}-{2:int},Grundschaden: {1:int}-{2:int},Base damage: {1:int}-{2:int},Dégâts base: {1:int}-{2:int},基本ダメージ: {1:int}-{2:int},기본 공격력: {1:int}~{2:int},Dano Base: {1:int}-{2:int},基础伤害：{1:int}-{2:int},基礎殺傷力：{1:int}-{2:int}
,,,Basic,,,,,,,,
Bastard Sword,,,Bastard Sword,Bastardschwert,Bastard Sword,Épée bâtarde,バスターソード,바스타드 검,Espada Bastarda,巨剑,大劍
Battle Axe,,,Battle Axe,Kampfaxt,Battle Axe,Hache de guerre,バトルアックス,전투 도끼,Machado de Batalha,战斧,戰斧
,,,Be Hero,,,,,,,,
conAdjectiveFP4,,female plural,Bear,Bärige,Bear,d'ours,クマの,곰,Ursos,承受,熊族
conAdjectiveFS4,,female singular,Bear,Bäriger,Bear,Ours,,곰,Urso,承受,熊
StoreInfoHeroExpress,,,Become a hero right away! Could be dangerous if there are already higher level heroes or monsters than you about.,"Werde direkt zum Helden! Könnte gefährlich sein, wenn Helden oder Monster höherer Stufe in der Nähe sind.",Become a hero right away! Could be dangerous if there are already higher level heroes or monsters than you about.,Deviens un héros tout de suite! Ça peut être dangereux s'il y a déjà des héros ou des monstres d'un niveau supérieur au tien.,周りにもっとレベルの高いヒーローやモンスターがいたら危ない！今すぐヒーローになろう！,지금 바로 영웅이 되세요! 나보다 높은 레벨의 영웅이나 몬스터가 있다면 위험할 수도 있습니다.,Seja um herói logo de cara! Pode ser perigoso se já tem heróis ou monstros com nível maior que o seu.,立即成为英雄！如果你身边有等级更高的英雄或怪物，这会是相当危险的操作！,立刻成為英雄！不過如果已經有等級比你高的英雄或怪物，那情況會非常危險。
BeginnerServer,,,Beginner Server,Anfänger-Server,,Démarrer serveur,,초보자 서버,Servidor Iniciante,新手服务器,低端伺服器
DevPlaceDesc,,Debug only,Blah blah blah,Bla bla bla,,,,Blah blah blah,Blah blah blah,Blah blah blah,Blah blah blah
SoloPlaceDesc,,Debug only,Blah blah blah,Bla bla bla,,,,Blah blah blah,Blah blah blah,Blah blah blah,Blah blah blah
BlueheadDragon,,,Bluehead Dragon,Blaukopfdrache,Bluehead Dragon,Dragon bleu,ブルーヘッドドラゴン,파란머리 용,Dragão de Cabeça Azul,蓝头龙,藍首魔龍
BlueprintNotOwned,,,Blueprint not owned,Entwurf nicht im Besitz,Blueprint not owned,Plan non possédé,持っていない設計図,설계도 없음,Diagrama não adquirido,未获得的图纸,未擁有設計圖
Blueprints,,,Blueprints,Entwürfe,Blueprints,Plans,設計図,설계도,Diagramas,图纸,設計圖
Bolt,,"magical energy bolt, as in 'fire bolt' or 'ice bolt'",Bolt,Blitz,Bolt,Éclair,ボルト,번개,Raio,能量球,彈
Bomb,,,Bomb,Bombe,Bomb,Bombe,爆弾,폭탄,Bomba,炸弹,炸彈
SkinTypeBomb,,,Bomb,Bombe,Bomb,Bombe,,폭탄,Bomba,炸弹,炸彈
explosiveAdjectiveFP3,,female plural,Boom,Explosive,Boom,détonantes,爆発する,쿵,Boom,隆隆隆,爆發
explosiveAdjectiveMP3,,male plural,Boom,Explosiver,Boom,détonant,,쿵,Boom,隆隆隆,爆發
Boost,,,Boost,Boost,Boost,Boost,ブースト,부스트,Boost,强化,強化
,,"minutes of purchaseable 'boost' power which gives you more xp and better drops, goes with a plus icon",Boost:,Boost:,Boost:,Boost:,ブースト:,부스트:,Boost:,强化：,強化時間：
BossSpawn,,category of furniture spawn boss monsters,Boss Spawn,Boss-Spawn,Boss Spawn,Générateurs de boss,ボスの隠れ家,보스 생성,Invocador de Chefe,Boss出现,魔王重生點
MsgSuperboss,,,Bottom floor! Defeat the superboss!,Unterste Ebene! Besiege den Superboss!,Bottom floor! Defeat the superboss!,Rez-de-chaussée! Élimine le superboss!,ダンジョンの奥までたどり着いたぞ！スーパーボスを倒そう！,바닥층입니다! 슈퍼 보스를 격파하세요!,Andar Profundo! Derrote o super chefe!,在楼下！击败超级Boss！,最底層關卡！擊敗超級魔王！
SkinTypeBow,,,Bow,Bogen,Bow,Arc,弓,활,Flecha,弓,弓
Brazier,,,Brazier,Feuerschale,Brazier,Brasier,燭台,화로,Braseiro,火盆,火盆
Broad Sword,,,Broad Sword,Breitschwert,Broad Sword,Grande épée,ブロードソード,브로드 소드,Espada Grande,阔剑,闊劍
,,,Broadsword,,,,,,,,
,,,Build,Bauen,Construir,Construire,建設,제작,Construir,建造,建造
